CMP_name,Food_name,SMILES,FDB_ID,CID,Pred_medicinal
,Cereals_and_bakery_products,NCC(=O)C1=CC=CC=C1,FDB010572,11952,0.0
,Other_fruits,CC(=O)C1=CC=CC=C1N,FDB010574,11086,0.0
,Other_green_vegetables,CCN(CC)C(=O)CC1=CC=CC=C1,FDB010579,17076,0.0
N-METHYL-PHENETHYLAMINE,Cabbage,CNCCC1=CC=CC=C1,FDB010581,11503,1.0
,Brassicas_and_other_crucifers,NC1=C(C=CC=C1O)C(O)=O,FDB010582,86,0.0
OCTOPAMINE,Lemon,NCC(O)C1=CC=C(O)C=C1,FDB010583,4581,0.0
,Citrus_fruits,NC[C@H](O)C1=CC=C(O)C=C1,FDB010584,440266,0.0
,Other_fruits,CCCCCCCCCC\\C=C\\CCCC(O)=O,FDB010586,13105359,0.0
,Root_vegetables,COC1=CC(CCC2=CC=CC=C2O)=CC(O)=C1,FDB010590,181271,0.0
,Other_fruits,CCCCCCCCCCCCCCCCCCCCC(C)(O)CCCC,FDB010591,129650615,0.0
,Other_fruits,OC1C(COC(=O)C2=CC(O)=C(O)C(O)=C2)OC(C(OC(=O)C2=CC(O)=C(O)C(O)=C2)C1OC(=O)C1=CC(O)=C(O)C(O)=C1)C1=C(O)C=C(O)C(C(=O)C2=CC(O)=C(O)C=C2)=C1O,FDB010592,131751270,0.0
,Other_fruits,OC1=CC(O)=C(C(=O)C2=CC(O)=C(O)C=C2)C(O)=C1,FDB010593,68213,0.0
,Other_fruits,OCC1OC(C(O)C(O)C1O)C1=C(O)C=C(O)C(C(=O)C2=CC(O)=C(O)C=C2)=C1O,FDB010594,75169766,0.0
,Other_fruits,OC1C(O)C(COC(=O)C2=CC=C(O)C=C2)OC(C1O)C1=C(O)C=C(O)C(C(=O)C2=CC(O)=C(O)C=C2)=C1O,FDB010595,131751271,0.0
,Other_fruits,CCCCCCCCCCCC\\C=C/CC\\C=C/CC\\C=C/CCCCCCCCC1=CC(C)OC1=O,FDB010596,131751272,0.0
,Other_fruits,CCCCCCCCCCCCCC\\C=C/CC\\C=C/CCCCCCCCCCC1=CC(C)OC1=O,FDB010597,131751273,0.0
,Herbs_condiments_and_spices,CC12CCC(C)(CC1C1=CC(=O)C3C4(C)CCC(OC5OC(C(O)C(O)C5OC5OC(C(O)C(O)C5O)C(O)=O)C(O)=O)C(C)(C)C4CCC3(C)C1(C)CC2)C(O)=O,FDB001060,3495,0.0
,Herbs_condiments_and_spices,CC1CC2OC(=O)C(=C)C2CC23OC2(C)CCC13,FDB010598,14313753,0.0
,Other_fruits,COC1=C(O)C=C2C3CC4=CC(O)=C(O)C=C4[N+]3(C)CCC2=C1,FDB010599,85190560,0.0
,Other_fruits,CC(=O)\\C=C\\C(=O)C=O,FDB010600,13433797,0.0
NORCEPANONE,Onion,CCCCCCC1OC(C)=CC1=O,FDB010601,566912,0.0
,Alliums,CS(=O)C\\C=C\\SSCC=C,FDB010603,20216911,0.0
,Herbs_condiments_and_spices,CC(C)CNC(=O)\\C=C\\CC\\C=C\\C1=CC2=C(OCO2)C=C1,FDB010604,15596445,0.0
,Herbs_condiments_and_spices,COC1=C(O)C=CC(\\C=C\\C(=O)OCC(O)C2=CC=C(O)C=C2)=C1,FDB010605,76764608,0.0
,Other_fruits,CO\\C=C/C1=CC2=C(OC(=O)C=C2)C=C1C,FDB010606,5319497,0.0
,Other_fruits,CCCCCCCCCCC(O)C1CCC(O1)C1CCC(O1)C(O)CCCCCCCCCCC1CC(CC(C)=O)C(=O)O1,FDB010607,130310,0.0
,Alcoholic_beverages,OC1=CC=C(C=C1)C1OC2=C(C=C(\\C=C\\C3=CC(O)=CC(O)=C3)C=C2)C1C1=CC(O)=CC(O)=C1,FDB010608,11487842,0.0
,Citrus_fruits,COC1=C(OC)C=C(C=C1)C1=C(OC)C(=O)C2=C(OC)C(OC)=C(Cl)C(OC)=C2O1,FDB010609,101943858,0.0
,Tea,COC1=CC2=C(O1)C=CC1=C2OC(=O)C=C1O,FDB010610,85748760,0.0
,Herbs_condiments_and_spices,CS\\C=C/CC\\C=C1OC2(CCCO2)C=C\\1,FDB010611,14540699,0.0
,Alcoholic_beverages,CCCCCCCCCCCCCCCCCCCCCCCCC(C)C,FDB010612,150931,0.0
,Tea,OC(CCCCCCCC(O)=O)C=C,FDB010613,10465398,0.0
,Herbs_condiments_and_spices,COC1=CC(OC)=C(OC)C=C1CC(C)=O,FDB010614,3083746,0.0
,Tea,CCC(=O)\\C=C\\C=C\\C=C\\C(O)CCCCCCCC(O)=O,FDB010615,9883083,0.0
,Alcoholic_beverages,CCCCCCCCCCC(O)C(O)CCCCC1CCC(O1)C1CCC(O1)C(O)CCCCCC(O)CC1=CC(C)OC1=O,FDB010617,75069318,0.0
CELLULASE,Cacao,CCOP(=S)(OCC)SCSC(C)(C)C,FDB001062,25670,0.0
,Tea,COC1=CC2=C(C=C1)C1COC3=C(C=CC(O)=C3CC=C(C)C)C1O2,FDB010618,131751274,0.0
,Fungi,CC(C)C(C)\\C=C\\C(C)C1CCC2C3=CC(=O)C45CC(O)CCC4(C)C3(CCC12C)OO5,FDB010619,131751275,0.0
,Fungi,CC(C)C(C)CCC(C)C1CCC2C3=CC(=O)C45CC(O)CCC4(C)C3(CCC12C)OO5,FDB010620,85218115,0.0
,Fungi,CC(C)C(C)C(\\C)=C\\C(C)C1CCC2C1(C)CCC1C3(C)CCC(O)CC33OOC21C=C3,FDB010621,131751276,0.0
,Fungi,CC(C)C(C)C(\\C)=C\\C(C)C1CCC2C3=CC(=O)C4(O)CC(O)CCC4(C)C3(O)CCC12C,FDB010622,131751277,0.0
,Tea,CC(C)=CCC1=C(O)C=CC(\\C=C\\C(=O)C2=C(O)C=C(O)C=C2)=C1,FDB010625,11099375,0.0
C_18:4,Peppers_sweet_red,CC\\C=C/C\\C=C/CC\\C=C\\CC\\C=C\\CCC(O)=O,FDB010626,131751278,0.0
,Other_fruits,CC\\C=C/CCCCCCCCCCCCCC(O)=O,FDB010627,131751279,0.0
CHYMOPAPAIN,Papaya,[Na+].[Na+].OC1=CC(=CC(=C1O)S([O-])(=O)=O)S([O-])(=O)=O,FDB001063,9001,0.0
,Other_green_vegetables,C\\C=C/CCCCC(O)\\C=C\\CCCCCC=C,FDB010628,131751280,0.0
,Tea,CCCCCCCC(O)C(O)CCCCCC(O)CC,FDB010629,11778432,0.0
,Tea,CCCCCCCC1OC1CCCCCC(O)C(O)CCl,FDB010630,130756,0.0
,Other_green_vegetables,CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\\C=C/CC\\C=C/CCCCCCCCC,FDB010631,131751281,0.0
,Alcoholic_beverages,CCCCCCCCCCCCCCCCCCCC(C)C,FDB010632,528494,0.0
,Edible_fats_and_oils,CC(=O)CCC1C2(C)COC1(C)CC(=O)C2,FDB010634,72828705,0.0
,Alliums,CC1C2C(CC3C4CC(O)C5CC(O)C(=O)CC5(C)C4CCC23C)OC11CCC(C)CO1,FDB010635,53463026,0.0
,Root_vegetables,CC(=O)CCCC1(C)CCC(CC1=O)C(C)=C,FDB010637,85204671,0.0
PAPAIN,Papaya,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,FDB001064,3672,0.0
